player_id,player_name,team,position,age,matches_played,goals,assists,pass_accuracy,distance_covered_km,sprint_speed_kmh,tackles,yellow_cards,red_cards,market_value_million_eur,rating,goals_per_match,assists_per_match,goal_contributions,disciplinary_points,performance_tier
129,Elias Pereira,Bayern Munich,Defender,24,25,0,1,84.8,10.42,30.5,0,3,0,12.6,7.47,0.0,0.04,1,3,Excellent
140,Tariq Fernandez,Liverpool,Forward,21,13,5,4,81.1,12.32,27.4,3,2,0,1.3,6.92,0.385,0.308,9,2,Average
79,Leo Fernandez,Real Madrid,Midfielder,26,19,0,7,74.3,9.2,29.5,3,1,0,16.6,5.87,0.0,0.368,7,1,Below Average
107,Diego Santos,Inter Milan,Midfielder,31,30,9,0,90.7,10.06,34.1,8,2,0,15.2,6.56,0.3,0.0,9,2,Average
134,Omar Okafor,Chelsea,Midfielder,24,37,5,11,73.2,9.34,30.1,5,3,0,4.2,7.75,0.135,0.297,16,3,Excellent
23,Jude Costa,Napoli,Forward,21,12,2,1,85.2,10.3,33.5,5,5,0,14.1,8.11,0.167,0.083,3,5,Elite
66,Malik Muller,Liverpool,Defender,22,25,2,1,88.5,11.42,26.3,7,2,0,3.3,8.0,0.08,0.04,3,2,Elite
25,Noah Dubois,Napoli,Midfielder,27,33,3,0,91.5,10.04,34.1,0,1,0,7.9,7.71,0.091,0.0,3,1,Excellent
113,Ivan Adeyemi,Arsenal,Defender,19,23,0,3,82.6,8.16,30.2,8,5,0,6.1,6.96,0.0,0.13,3,5,Average
75,Theo Dubois,Arsenal,Forward,21,21,0,3,75.1,8.65,31.4,15,3,0,11.9,6.7,0.0,0.143,3,3,Average
33,Owen Costa,Bayern Munich,Forward,17,24,5,5,83.2,9.87,30.6,1,4,0,26.6,6.4,0.208,0.208,10,4,Average
142,Owen Fernandez,Manchester City,Defender,24,22,0,0,87.7,12.07,34.7,9,4,0,12.100000000000001,6.52,0.0,0.0,0,4,Average
95,Tariq Hernandez,Atletico Madrid,Midfielder,20,19,3,7,75.0,10.17,29.3,15,0,0,54.9,6.2,0.158,0.368,10,0,Average
110,Tariq Diallo,Manchester City,Defender,26,38,1,1,81.9,9.78,33.0,2,3,0,19.8,7.34,0.026,0.026,2,3,Excellent
103,Malik Fernandez,Arsenal,Forward,26,23,6,4,88.2,8.84,31.0,14,4,0,21.2,7.02,0.261,0.174,10,4,Excellent
126,Hugo Weber,Real Madrid,Defender,21,20,0,1,79.6,10.44,34.0,9,4,0,3.9,8.03,0.0,0.05,1,4,Elite
149,Nico Costa,Real Madrid,Midfielder,19,30,7,2,87.7,12.35,28.2,0,4,0,22.1,7.0,0.233,0.067,9,4,Excellent
127,Owen Rossi,Manchester City,Midfielder,28,27,5,12,99.0,10.75,29.7,6,1,0,2.7,6.42,0.185,0.444,17,1,Average
122,Omar Morales,Liverpool,Midfielder,23,19,2,2,82.2,10.13,35.1,4,5,0,2.4,6.74,0.105,0.105,4,5,Average
144,Gabriel Morales,Chelsea,Defender,23,25,0,1,82.9,8.64,32.8,24,3,0,27.5,6.67,0.0,0.04,1,3,Average
158,Enzo Silva,Borussia Dortmund,Midfielder,33,23,5,6,84.8,10.61,29.9,14,7,0,25.6,7.01,0.217,0.261,11,7,Excellent
36,Jude Morales,Arsenal,Defender,27,29,0,1,86.3,12.59,33.1,34,5,0,9.4,6.35,0.0,0.034,1,5,Average
