player_id,player_name,team,position,age,matches_played,goals,assists,pass_accuracy,distance_covered_km,sprint_speed_kmh,tackles,yellow_cards,red_cards,market_value_million_eur,rating
129,Elias Pereira,Bayern Munich,Defender,24,25,0,1,84.8,10.42,30.5,0,3,0,12.6,7.47
140,Tariq Fernandez,Liverpool  ,FORWARD,21,13,5,4,81.1,12.32,27.4,3,2,0,1.3,6.92
79,Leo Fernandez,Real Madrid,Midfielder,26,19,0,7,74.3,9.2,29.5,3,1,0,16.6,5.87
107,Diego Santos,Inter Milan,Midfielder,31,30,9,0,90.7,10.06,34.1,8,2,0,15.2,6.56
134,Omar Okafor,Chelsea,Midfielder,24,37,5,11,73.2,9.34,30.1,5,3,0,4.2,7.75
23,Jude Costa,Napoli,Forward,21,12,2,1,85.2,10.3,33.5,5,5,0,14.1,8.11
66,Malik Muller,Liverpool,Defender,22,25,2,1,88.5,11.42,26.3,7,2,0,3.3,8.0
25,Noah Dubois,Napoli,Midfielder,27,33,3,0,91.5,10.04,34.1,0,1,0,7.9,7.71
113,Ivan Adeyemi,Arsenal,Defender,19,23,0,3,82.6,8.16,30.2,8,5,0,6.1,6.96
75,Theo Dubois,Arsenal,Forward,21,21,0,3,75.1,8.65,31.4,15,3,0,11.9,6.7
33,Owen Costa,Bayern Munich,Forward,17,24,5,5,,9.87,,1,4,0,26.6,6.4
142,Owen Fernandez,Manchester City,Defender,24,22,0,0,87.7,12.07,34.7,9,4,0,,6.52
95,Tariq Hernandez,Atletico Madrid,Midfielder,20,19,3,7,75.0,10.17,29.3,15,0,0,54.9,6.2
110,Tariq Diallo,Manchester City,Defender,26,38,1,1,81.9,9.78,33.0,2,3,0,19.8,7.34
103,Malik Fernandez,Arsenal,Forward,26,23,6,4,88.2,8.84,31.0,14,4,0,21.2,7.02
126,Hugo Weber,Real Madrid,DEFENDER,21,20,0,1,79.6,10.44,34.0,9,4,0,3.9,8.03
149,Nico Costa,Real Madrid,Midfielder,19,30,7,2,87.7,12.35,28.2,0,4,0,22.1,7.0
127,Owen Rossi,Manchester City,Midfielder,28,27,5,12,99.0,10.75,29.7,6,1,0,2.7,6.42
122,Omar Morales,Liverpool,Midfielder,23,19,2,2,82.2,10.13,35.1,4,5,0,2.4,6.74
144,Gabriel Morales,Chelsea,Defender,23,25,0,1,,8.64,32.8,24,3,0,27.5,6.67
158,Enzo Silva,Borussia Dortmund,Midfielder,33,23,5,6,84.8,10.61,29.9,14,7,0,25.6,7.01
36,Jude Morales,Arsenal  ,Defender,27,29,0,1,86.3,12.59,33.1,34,5,0,9.4,6.35
109,Pablo Morales,Liverpool,Goalkeeper,23,26,0,0,87.0,9.59,32.3,4,2,1,5.8,7.45
114,Hugo Pereira,Real Madrid,Forward,32,23,6,0,69.4,7.98,31.7,10,5,0,15.3,6.43
86,Samuel Dubois,Arsenal,Midfielder,20,22,2,10,78.5,8.56,34.0,3,2,0,9.5,6.79
81,Lucas Okafor,Bayern Munich,Forward,20,21,15,4,98.2,10.75,31.5,3,4,0,6.6,6.0
151,Elias Muller,Barcelona,Midfielder,31,35,0,14,78.5,10.57,31.7,6,1,0,7.2,6.28
167,Hugo Haas,Real Madrid,Defender,25,29,1,1,93.3,10.7,30.1,29,1,0,23.9,6.76
58,Felix Larsson,Arsenal  ,Forward,19,20,9,7,74.8,10.39,29.2,13,0,0,3.4,6.46
169,Rico Adeyemi,Paris SG,Midfielder,25,29,7,2,82.3,13.79,34.0,2,2,0,29.4,7.76
14,Ivan Ivanov,Liverpool,Midfielder,17,27,0,5,76.9,10.47,29.6,6,1,0,73.7,6.39
92,Jude Dubois,Napoli,Defender,21,31,3,3,84.3,9.24,28.0,18,4,0,33.2,6.92
67,Adrian Kovac,,Forward,24,31,19,0,92.3,12.13,29.4,12,3,1,18.0,6.63
117,Rico Morales,Napoli,Forward,24,30,19,0,91.1,7.87,33.6,19,2,0,10.2,7.27
175,Nico Hernandez,Arsenal,Forward,21,16,9,6,77.5,10.84,25.8,1,1,0,,6.36
132,Kevin Adeyemi,Liverpool,Midfielder,20,32,7,13,85.1,10.23,32.7,14,1,0,32.5,6.35
160,Mateo Ivanov,,Defender,22,29,1,3,82.2,11.3,23.7,10,4,0,12.4,7.15
46,Malik Dubois,Inter Milan,MIDFIELDER,26,30,8,1,78.7,8.8,35.6,19,4,0,38.0,7.89
96,Leo Santos,Atletico Madrid,Forward,26,31,19,0,87.6,9.6,28.8,0,6,0,11.9,6.59
37,Nico Dubois,Manchester City,Defender,25,25,1,0,79.2,10.91,34.1,23,2,0,14.5,7.71
115,Felix Rossi,Bayern Munich,Midfielder,27,32,5,4,88.4,10.36,26.8,0,6,0,20.2,6.16
52,Victor Pereira,Liverpool,Forward,29,12,6,4,82.6,11.69,,8,6,0,9.2,6.63
61,Andres Weber,Arsenal,Forward,26,22,13,6,85.2,11.05,28.6,8,0,0,41.4,7.09
97,Leo Costa,Arsenal,Defender,26,38,4,1,,10.4,26.6,26,4,0,11.8,6.1
131,Andres Costa,Napoli,Midfielder,34,16,4,5,83.6,12.27,31.7,0,5,0,24.4,6.63
47,Diego Morales,Napoli,Defender,24,36,4,0,85.6,9.98,33.0,26,0,0,1.6,6.59
172,Andres Garcia,Real Madrid,Midfielder,31,21,7,8,85.4,10.72,32.0,0,5,0,0.7,5.92
133,Felix Muller,Real Madrid,Midfielder,32,38,8,24,84.5,11.28,34.2,12,2,0,17.6,7.14
83,Mateo Fernandez,Paris SG  ,Forward,23,19,8,5,82.9,11.19,26.1,3,4,1,21.3,7.4
12,Kai Silva,Liverpool  ,Midfielder,23,38,8,4,74.5,10.88,30.4,19,0,0,20.6,6.76
100,Owen Silva,Manchester City,Defender,31,27,1,1,98.5,9.03,32.5,4,3,0,5.1,6.31
64,Kevin Garcia,Borussia Dortmund,Forward,23,20,10,1,94.7,10.7,32.0,9,3,0,44.1,6.92
28,Felix Morales,Bayern Munich,Midfielder,24,14,1,0,88.4,7.16,36.1,0,3,0,51.9,7.08
102,Victor Kovac,Barcelona,Defender,23,24,0,1,92.2,11.38,30.1,27,1,0,17.2,6.22
82,Elias Adeyemi,Liverpool,Defender,33,14,1,1,83.8,10.2,30.0,10,3,0,17.1,6.99
150,Malik Santos,Liverpool  ,Defender,25,19,1,1,86.9,10.29,32.8,5,4,0,25.9,6.61
112,Kevin Fernandez,Bayern Munich,Midfielder,29,37,1,15,75.2,10.24,30.4,0,6,0,,5.48
38,Nico Nakamura,Liverpool,Defender,26,6,0,1,75.5,14.0,31.5,0,1,0,9.5,7.82
118,Rafael Hernandez,Liverpool,Midfielder,19,33,4,5,89.8,8.54,26.9,22,4,0,13.5,6.51
130,Theo Larsson,Paris SG,Defender,29,21,0,2,79.4,13.15,30.3,15,3,0,6.2,7.48
29,Elias Ivanov,Napoli,Forward,25,13,1,2,,7.2,32.3,0,1,0,4.7,6.06
41,Omar Fernandez,Manchester City,DEFENDER,21,34,0,0,80.2,8.62,30.6,20,5,0,4.1,6.64
89,Jude Fernandez,Borussia Dortmund,Midfielder,28,33,4,9,82.1,9.44,,0,7,0,6.6,6.71
146,Nico Silva,Real Madrid,Forward,27,13,9,3,79.4,10.4,26.6,5,3,0,,6.71
85,Rico Haas,Liverpool,Goalkeeper,30,19,0,0,79.4,9.21,31.8,1,1,1,20.0,7.51
50,Pablo Adeyemi,,Forward,19,22,15,4,87.7,11.07,34.2,13,3,1,19.8,6.92
6,Ivan Dubois,Atletico Madrid,Forward,28,26,8,7,82.7,11.56,29.2,4,4,0,3.8,6.55
18,Hugo Garcia,Arsenal,Midfielder,26,31,6,14,74.8,10.49,32.2,13,4,0,9.2,6.73
105,Kai Kovac,Liverpool  ,Forward,27,17,12,3,84.1,10.71,29.5,6,1,0,6.7,6.49
159,Jude Rossi,Atletico Madrid,Forward,27,21,8,5,69.3,12.06,31.1,2,0,0,1.4,6.26
166,Rafael Okafor,Real Madrid,Midfielder,25,32,5,9,79.5,12.39,29.0,24,4,0,23.6,7.33
177,Rafael Ivanov,Manchester City,Midfielder,20,7,2,1,84.0,10.14,29.9,0,2,0,18.1,6.53
63,Marco Weber,Napoli,Forward,21,23,10,0,92.5,11.43,30.4,6,2,0,5.5,6.63
65,Nico Garcia,Atletico Madrid,Defender,31,20,2,3,98.6,9.61,30.1,0,3,0,21.2,5.6
27,Tariq Nakamura,Real Madrid,Midfielder,35,16,3,7,69.7,8.54,25.9,2,6,0,25.7,5.78
87,Jude Garcia,Borussia Dortmund,Defender,19,25,0,3,82.8,8.84,34.0,13,1,0,38.5,6.28
42,Diego Silva,Barcelona,Defender,20,17,0,3,79.7,9.57,25.7,2,5,0,50.3,7.76
53,Ivan Hernandez,Napoli,Midfielder,18,29,3,3,77.5,11.32,31.7,8,5,0,8.8,7.16
163,Owen Dubois,Arsenal,Midfielder,21,36,7,16,77.4,11.4,28.3,20,4,0,20.4,5.98
8,Omar Costa,Bayern Munich  ,Midfielder,17,35,14,17,80.5,9.24,32.8,2,5,0,27.4,7.06
164,Adrian Rossi,Real Madrid,Forward,24,34,21,10,,9.49,26.8,6,7,0,9.1,7.78
123,Malik Diallo,Atletico Madrid  ,Forward,28,25,11,0,88.7,9.1,28.3,14,1,0,27.4,8.14
71,Ivan Diallo,Paris SG,Midfielder,29,22,4,2,81.8,13.0,33.4,8,1,0,36.4,7.51
157,Adrian Diallo,Manchester City  ,GOALKEEPER,19,19,0,0,96.6,7.98,26.3,16,3,0,19.1,7.13
98,Victor Dubois,Inter Milan,Forward,17,24,11,3,79.6,11.22,30.6,3,1,0,13.2,6.23
9,Lucas Diallo,Atletico Madrid,Midfielder,22,32,6,0,143.0,11.5,,15,3,1,2.9,6.87
99,Tariq Santos,Arsenal,Midfielder,21,20,4,6,80.8,10.38,29.8,0,2,0,27.3,7.01
80,Elias Larsson,Barcelona,Midfielder,24,11,0,0,81.9,10.36,33.2,0,3,0,3.3,5.71
55,Jude Hernandez,Bayern Munich,Forward,21,26,13,7,96.1,9.95,29.0,0,2,0,,6.49
116,Mateo Garcia,Bayern Munich,MIDFIELDER,18,18,8,3,68.3,11.23,33.1,12,4,0,10.6,7.66
30,Pablo Weber,Chelsea,Forward,25,25,6,5,84.2,10.15,31.1,8,1,0,56.7,7.04
4,Owen Garcia,Manchester City,Midfielder,-5,27,0,2,68.9,8.29,32.6,0,7,0,40.1,7.54
40,Kevin Okafor,Inter Milan,FORWARD,32,18,5,4,79.3,8.47,28.3,8,3,0,4.0,6.67
125,Marco Garcia,Barcelona,Defender,22,24,0,1,86.3,9.55,30.5,26,1,0,13.5,5.84
78,Bruno Adeyemi,Borussia Dortmund,Midfielder,19,25,0,3,85.9,8.53,32.8,0,1,0,60.6,7.35
154,Pablo Haas,Barcelona,Defender,23,35,0,5,80.0,9.81,33.0,24,3,0,14.7,5.8
139,Malik Garcia,Atletico Madrid,Midfielder,24,18,4,0,69.1,12.45,29.0,9,3,0,21.0,7.82
55,Jude Hernandez,Bayern Munich,Forward,21,26,13,7,96.1,9.95,29.0,0,2,0,,6.49
