player_name,team,position,yellow_cards,red_cards,disciplinary_points
Felix Kovac,Liverpool,Midfielder,8,0,8
Omar Dubois,Arsenal,Goalkeeper,6,1,8
Kevin Silva,Arsenal,Midfielder,6,1,8
Enzo Silva,Borussia Dortmund,Midfielder,7,0,7
Jude Fernandez,Borussia Dortmund,Midfielder,7,0,7
Adrian Rossi,Real Madrid,Forward,7,0,7
Owen Garcia,Manchester City,Midfielder,7,0,7
Rafael Adeyemi,Real Madrid,Forward,7,0,7
Leo Santos,Atletico Madrid,Forward,6,0,6
Felix Rossi,Bayern Munich,Midfielder,6,0,6
Victor Pereira,Liverpool,Forward,6,0,6
Mateo Fernandez,Paris SG,Forward,4,1,6
Kevin Fernandez,Bayern Munich,Midfielder,6,0,6
Tariq Nakamura,Real Madrid,Midfielder,6,0,6
Pablo Larsson,Chelsea,Midfielder,4,1,6
Rico Larsson,Bayern Munich,Midfielder,6,0,6
Rafael Morales,Liverpool,Defender,6,0,6
Felix Weber,Barcelona,Defender,6,0,6
