team,squad_size,avg_rating,total_goals,total_assists,avg_market_value_m,total_squad_value_m
Paris SG,10,7.08,40,27,15.6,156.2
Chelsea,9,7.04,30,31,22.7,204.2
Manchester City,19,7.0,43,67,12.9,244.4
Unknown,7,6.94,62,21,27.6,193.0
Inter Milan,12,6.91,108,42,26.9,322.6
Liverpool,21,6.89,78,59,17.3,362.8
Napoli,14,6.81,53,35,15.4,215.2
Real Madrid,16,6.74,72,91,16.3,260.7
Borussia Dortmund,10,6.74,44,38,26.4,263.5
Arsenal,17,6.73,61,99,15.4,262.3
Atletico Madrid,15,6.66,115,32,18.4,276.3
Barcelona,13,6.6,14,42,13.7,177.6
Bayern Munich,17,6.55,84,76,25.0,425.3
