player_name,team,position,goals,matches_played,goals_per_match
Tariq Pereira,Inter Milan,Forward,25,27,0.926
Adrian Rossi,Real Madrid,Forward,21,34,0.618
Adrian Kovac,Unknown,Forward,19,31,0.613
Rico Morales,Napoli,Forward,19,30,0.633
Leo Santos,Atletico Madrid,Forward,19,31,0.613
Noah Weber,Atletico Madrid,Forward,18,28,0.643
Yusuf Nakamura,Inter Milan,Forward,18,24,0.75
Gabriel Adeyemi,Liverpool,Forward,17,23,0.739
Tariq Morales,Borussia Dortmund,Forward,17,27,0.63
Jude Okafor,Unknown,Forward,16,30,0.533
Lucas Okafor,Bayern Munich,Forward,15,21,0.714
Pablo Adeyemi,Unknown,Forward,15,22,0.682
Tariq Costa,Atletico Madrid,Forward,15,22,0.682
Omar Costa,Bayern Munich,Midfielder,14,35,0.4
Noah Rossi,Inter Milan,Forward,14,27,0.519
