player_name,team,position,rating,market_value_million_eur
Theo Ivanov,Manchester City,Midfielder,7.49,2.8
Malik Muller,Liverpool,Defender,8.0,3.3
Hugo Weber,Real Madrid,Defender,8.03,3.9
Omar Okafor,Chelsea,Midfielder,7.75,4.2
Samuel Larsson,Chelsea,Midfielder,7.67,4.4
Nico Haas,Manchester City,Defender,7.58,4.8
Elias Morales,Liverpool,Defender,7.21,5.2
Pablo Morales,Liverpool,Goalkeeper,7.45,5.8
Theo Larsson,Paris SG,Defender,7.48,6.2
Felix Fernandez,Inter Milan,Forward,7.23,6.7
Noah Dubois,Napoli,Midfielder,7.71,7.9
Adrian Rossi,Real Madrid,Forward,7.78,9.1
Theo Santos,Barcelona,Forward,7.78,9.1
Nico Nakamura,Liverpool,Defender,7.82,9.5
Owen Haas,Manchester City,Defender,7.44,9.5
